Model,MAE,RMSE,R² Score
LightGBM,1.0346224093909462,2.0221511604907345,0.6564220010719339
XGBoost,1.0332967042922974,2.0321010274027445,0.6530325412750244
CatBoost,1.0546050808704046,2.0339518336961624,0.6524002621901757
Random Forest,1.0948055492851452,2.0934300495611935,0.6317735172546599
Linear Regression,1.0667993702704663,2.102580973128033,0.6285472550513922
